,precision,recall,f1-score,support
acetonaemia,1.0,1.0,1.0,5.0
blackleg,1.0,1.0,1.0,5.0
bloat,1.0,1.0,1.0,1.0
calf_diphtheria,1.0,1.0,1.0,5.0
calf_pneumonia,1.0,1.0,1.0,5.0
coccidiosis,1.0,1.0,1.0,1.0
cryptosporidiosis,1.0,1.0,1.0,5.0
displaced_abomasum,1.0,1.0,1.0,1.0
fatty_liver_syndrome,0.75,1.0,0.8571428571428571,3.0
fog_fever,0.5,1.0,0.6666666666666666,1.0
foot_and_mouth,1.0,1.0,1.0,5.0
foot_rot,1.0,0.6666666666666666,0.8,3.0
gut_worms,1.0,0.6,0.75,5.0
infectious_bovine_rhinotracheitis,1.0,0.8,0.8888888888888888,5.0
listeriosis,1.0,1.0,1.0,5.0
liver_fluke,1.0,1.0,1.0,1.0
mastitis,1.0,1.0,1.0,5.0
necrotic_enteritis,0.0,0.0,0.0,1.0
peri_weaning_diarrhoea,0.25,1.0,0.4,1.0
ragwort_poisoning,1.0,1.0,1.0,1.0
rift_valley_fever,1.0,1.0,1.0,5.0
rumen_acidosis,1.0,1.0,1.0,5.0
schmallen_berg_virus,1.0,1.0,1.0,5.0
traumatic_reticulitis,0.5,1.0,0.6666666666666666,1.0
trypanosomosis,1.0,0.8,0.8888888888888888,5.0
wooden_tongue,1.0,1.0,1.0,5.0
accuracy,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
macro avg,0.8846153846153846,0.917948717948718,0.8814713064713064,90.0
weighted avg,0.9611111111111111,0.9333333333333333,0.9371516754850089,90.0
